sample       SAS       AFR
0   AT11956034FT.1  0.868571  0.131429
1   AY05967770XO.1  0.977143  0.022857
2   BC29531790UL.1  0.922857  0.077143
3   BL31215638WW.0  0.994286  0.005714
4   BL31215638WW.1  0.905714  0.094286
5   BM70965827PC.1  0.988571  0.011429
6   CO70607861FC.0  0.917143  0.082857
7   DN27815118QZ.1  0.994286  0.005714
8   DQ14407215BH.0  0.840000  0.160000
9   DQ14407215BH.1  0.948571  0.051429
10  EF30846433HB.0  0.994286  0.005714
11  EX15884323SE.1  0.997143  0.002857
12  FC66289756KY.0  0.894286  0.105714
13  GC42879850WU.0  0.971429  0.028571
14  GN92946639LD.1  0.982857  0.017143
15  GP54935534TT.0  0.997143  0.002857
16  GP54935534TT.1  0.905714  0.094286
17  GQ06040305PO.1  0.940000  0.060000
18  JH89581534JC.0  0.897143  0.102857
19  JH89581534JC.1  0.940000  0.060000
20  JJ03598886IM.0  0.831429  0.168571
21  JJ03598886IM.1  0.980000  0.020000
22  JP22879261WH.0  0.871429  0.128571
23  JP22879261WH.1  0.994286  0.005714
24  JX74790463LT.0  0.997143  0.002857
25  JX74790463LT.1  0.991429  0.008571
26  LN94828593XE.0  0.948571  0.051429
27  MI11210702SH.0  0.857143  0.142857
28  ND69095408IA.0  0.997143  0.002857
29  ND69095408IA.1  0.888571  0.111429
30  OF02267763VG.0  0.997143  0.002857
31  PE62609453NF.0  0.797143  0.202857
32  PE62609453NF.1  0.980000  0.020000
33  PJ98579114PS.0  0.931429  0.068571
34  PJ98579114PS.1  0.857143  0.142857
35  PM55179046NN.1  0.920000  0.080000
36  PT43713990NF.0  0.994286  0.005714
37  QI00291800JR.1  0.888571  0.111429
38  SW69054933UG.0  0.937143  0.062857
39  SW69054933UG.1  0.945714  0.054286
40  TG57997813QX.0  0.985714  0.014286
41  TG57997813QX.1  0.834286  0.165714
42  TU98346752IL.1  0.897143  0.102857
43  UH77762684OJ.0  0.991429  0.008571
44  UJ91891853OU.1  0.977143  0.022857
45  VB14673951YU.0  0.974286  0.025714
46  VB14673951YU.1  0.854286  0.145714
47  XZ79949940JY.1  0.971429  0.028571
48  YJ98340606PC.0  0.991429  0.008571
49  YT49695795WN.0  0.857143  0.142857
50  YT49695795WN.1  0.928571  0.071429
51  ZE77351334SC.0  0.985714  0.014286
52  ZE77351334SC.1  0.934286  0.065714
53  ZH68131988GV.0  0.888571  0.111429
